,default
11698,1
7325,0
6029,0
786,0
29484,0
8994,0
21281,1
33122,1
8173,1
8509,1
18545,1
25333,0
14362,1
2101,0
7051,0
33802,0
27762,1
28442,0
20064,1
15021,1
4050,0
33021,1
25398,1
35370,1
25684,0
20956,1
35454,0
23484,1
1632,0
10200,1
27859,1
27272,1
32145,1
3712,0
18143,0
19418,0
6107,0
1594,0
27328,1
1650,1
31552,0
21203,1
1264,0
15413,0
8124,1
9895,0
27727,1
35550,0
31595,0
16140,1
9836,0
1926,0
16008,1
27012,1
34184,0
32263,1
33484,1
30276,1
32731,1
29982,1
19190,0
32393,1
21882,1
18446,0
16266,1
34307,0
23734,0
35710,0
16998,1
31550,0
12873,1
7820,0
26570,1
35051,0
27931,1
33494,1
29769,0
18040,0
19349,0
16133,1
13204,0
26019,0
29675,1
14056,0
35772,1
30910,0
30209,1
17585,1
11497,1
5586,1
22379,1
18875,1
20004,1
16386,0
22746,1
23292,1
33888,0
24071,0
1923,0
26716,0
569,1
27269,1
23400,1
19733,1
1566,0
27121,1
10746,1
36066,1
15570,0
28991,0
28308,1
12815,1
5374,1
33860,0
17755,0
24206,0
31243,1
26901,1
20813,1
31866,1
32076,1
28371,1
3126,0
22082,1
17456,1
29983,1
12606,1
10962,0
29753,1
18016,0
34622,0
1252,0
33244,1
28738,1
22747,1
19238,0
6342,1
1617,0
9180,0
3108,1
25586,0
21290,1
34001,0
5551,1
32835,1
5637,1
13845,1
23015,1
26628,1
226,1
12893,1
20619,1
24770,0
14138,0
29470,0
16731,1
18493,0
24898,0
24852,0
4091,0
18517,0
24382,0
11863,1
3515,1
25067,1
28800,1
22921,1
33972,0
34488,0
14061,0
8579,0
27982,1
19236,0
16193,0
416,1
20786,1
9470,0
6971,0
7018,0
30525,1
29233,1
777,1
18776,0
35239,0
8115,1
2251,0
30798,1
6111,1
11393,0
3754,0
10675,1
16718,0
9350,1
1918,0
23006,1
11397,0
22332,1
1997,1
23283,0
35271,0
